immatriculation,marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
3472 DG 64,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
3465 TD 57,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
7927 OY 54,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
7452 RE 13,Audi,A2 1.4,75,courte,5,5,noir,true,12817
2674 BL 93,Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,false,49200
9457 GW 26,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
1716 IB 15,Mercedes,S500,306,très longue,5,5,rouge,true,70910
1567 JO 29,Volvo,S80 T6,272,très longue,5,5,blanc,true,35350
6741 UY 21,BMW,M5,507,très longue,5,5,bleu,false,94800
703 UL 81,Audi,A2 1.4,75,courte,5,5,gris,false,18310
9672 OV 81,BMW,M5,507,très longue,5,5,blanc,true,66360
5621 MY 83,Mercedes,S500,306,très longue,5,5,blanc,true,70910
541 XD 51,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900
3586 GZ 53,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
1831 WO 32,Volvo,S80 T6,272,très longue,5,5,bleu,false,50500
18 HS 47,Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,false,49200
5296 UQ 68,BMW,M5,507,très longue,5,5,blanc,true,66360
8764 QH 67,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,false,22900
1442 YI 58,BMW,120i,150,moyenne,5,5,noir,true,25060
2192 XA 28,BMW,M5,507,très longue,5,5,gris,false,94800
4954 LD 81,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
6000 RL 30,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,false,49200
9272 ND 69,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200
2709 HF 14,BMW,M5,507,très longue,5,5,rouge,false,94800
5960 IO 88,Saab,9.3 1.8T,150,longue,5,5,gris,true,27020
7510 MK 72,Fiat,Croma 2.2,147,longue,5,5,blanc,true,17346
6576 QG 76,BMW,120i,150,moyenne,5,5,rouge,true,25060
8432 BQ 65,Volvo,S80 T6,272,très longue,5,5,blanc,false,50500
2520 NW 97,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
2973 NL 63,BMW,M5,507,très longue,5,5,bleu,false,94800
4133 YT 25,Audi,A2 1.4,75,courte,5,5,noir,true,12817
4772 OW 20,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
6847 MQ 81,Mercedes,S500,306,très longue,5,5,noir,false,101300
2552 YE 24,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,true,15644
8954 FU 52,Volvo,S80 T6,272,très longue,5,5,noir,false,50500
5233 MJ 81,Audi,A3 2.0 FSI,150,moyenne,5,5,blanc,true,19950
8390 OM 82,Nissan,Primera 1.6,109,longue,5,5,bleu,false,18650
2901 LR 34,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900
914 WL 68,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
6974 ON 87,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
7713 JW 58,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
8993 PH 93,Ford,Mondeo 1.8,125,longue,5,5,blanc,true,16730
3319 HF 51,Seat,Toledo 1.6,102,longue,5,5,gris,false,18880
9563 EJ 63,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
6789 MU 60,BMW,M5,507,très longue,5,5,gris,true,66360
2468 UE 20,Volvo,S80 T6,272,très longue,5,5,noir,true,35350
1296 NG 80,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,true,16029
8027 YM 92,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,false,22900
3428 XQ 13,Nissan,Primera 1.6,109,longue,5,5,blanc,false,18650
4662 SP 91,Mini,Copper 1.6 16V,115,courte,5,5,gris,false,18200
5776 DZ 48,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
2043 MV 48,Mini,Copper 1.6 16V,115,courte,5,5,gris,true,12740
6607 HW 67,Audi,A2 1.4,75,courte,5,5,gris,false,18310
6569 RM 60,Mercedes,S500,306,très longue,5,5,gris,false,101300
4197 SS 96,Mercedes,S500,306,très longue,5,5,blanc,false,101300
7625 QD 87,Fiat,Croma 2.2,147,longue,5,5,bleu,false,24780
5022 ZC 65,Mercedes,S500,306,très longue,5,5,gris,true,70910
3550 SU 98,Fiat,Croma 2.2,147,longue,5,5,blanc,true,17346
7773 SW 54,BMW,M5,507,très longue,5,5,gris,true,66360
722 JM 39,Daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850
6056 GD 30,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
3282 JF 50,BMW,M5,507,très longue,5,5,blanc,false,94800
1695 MH 54,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
8648 LU 98,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
9447 IB 58,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
733 UE 59,Audi,A2 1.4,75,courte,5,5,noir,false,18310
4080 QY 10,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
8488 RG 78,Nissan,Primera 1.6,109,longue,5,5,rouge,false,18650
3680 BE 80,BMW,M5,507,très longue,5,5,noir,false,94800
4539 FE 61,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200
9459 UZ 65,Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
7617 MP 80,BMW,M5,507,très longue,5,5,bleu,false,94800
4663 HF 64,Saab,9.3 1.8T,150,longue,5,5,gris,true,27020
9942 WU 38,BMW,M5,507,très longue,5,5,blanc,false,94800
3925 OW 98,BMW,120i,150,moyenne,5,5,noir,true,25060
2875 WX 17,Kia,Picanto 1.1,65,courte,5,5,noir,false,8990
8772 KM 51,Audi,A2 1.4,75,courte,5,5,noir,false,18310
4375 PW 13,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
5644 UL 82,Audi,A2 1.4,75,courte,5,5,noir,true,12817
5621 KO 28,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
6516 CC 79,Skoda,Superb 2.8 V6,193,très longue,5,5,noir,false,31790
6398 WK 24,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
6430 UL 88,Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300
6528 VF 16,Peugeot,1007 1.4,75,courte,5,5,gris,false,13750
9535 RP 10,Nissan,Almera 1.8,115,moyenne,5,5,gris,false,16450
6218 FI 37,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
1521 SN 29,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
924 YY 29,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900
958 VC 30,Audi,A2 1.4,75,courte,5,5,gris,false,18310
4838 LM 71,Audi,A2 1.4,75,courte,5,5,gris,false,18310
9075 AY 44,Saab,9.3 1.8T,150,longue,5,5,rouge,false,38600
6272 LV 75,Dacia,Logan 1.6 MPI,90,moyenne,5,5,noir,false,7500
2930 VX 30,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,true,34440
2995 NX 30,Peugeot,1007 1.4,75,courte,5,5,gris,true,9625
5250 BO 89,Audi,A2 1.4,75,courte,5,5,noir,false,18310
7467 KH 91,BMW,M5,507,très longue,5,5,noir,false,94800
6396 RC 16,Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300
3266 QA 48,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,true,16029
7730 CZ 23,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
9669 BZ 95,BMW,M5,507,très longue,5,5,rouge,false,94800
5722 XX 13,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
224 CM 34,Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,true,18641
1990 OI 52,Saab,9.3 1.8T,150,longue,5,5,rouge,false,38600
9488 GS 11,Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,false,49200
1175 GF 19,Saab,9.3 1.8T,150,longue,5,5,gris,true,27020
6781 XN 78,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
1169 ZT 98,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
3350 CC 61,BMW,M5,507,très longue,5,5,blanc,false,94800
2151 TU 68,Audi,A3 2.0 FSI,150,moyenne,5,5,noir,false,28500
3554 RL 42,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
4386 NI 37,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,false,49200
227 RW 43,Nissan,Maxima 3.0 V6,200,très longue,5,5,noir,false,30000
4410 UP 85,BMW,M5,507,très longue,5,5,gris,false,94800
8598 WA 46,Audi,A2 1.4,75,courte,5,5,gris,false,18310
7743 OO 42,Fiat,Croma 2.2,147,longue,5,5,gris,false,24780
2566 VU 75,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
1002 HS 21,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
6947 CE 20,Saab,9.3 1.8T,150,longue,5,5,gris,true,27020
779 KL 32,Audi,A2 1.4,75,courte,5,5,gris,false,18310
7969 KG 78,BMW,M5,507,très longue,5,5,rouge,false,94800
6891 DW 74,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
4777 UT 30,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200
3236 XI 94,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
8663 MD 61,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
