marque,nom,immatriculation,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,prediction
BMW,M5,6398 TJ 36,507,très longue,5,5,noir,false,94800,2
Jaguar,X-Type 2.5 V6,2239 DH 24,197,longue,5,5,rouge,false,37100,0
Volkswagen,Polo 1.2 6V,1346 KV 76,55,courte,5,3,rouge,false,12200,1
Renault,Vel Satis 3.5 V6,4022 AN 81,245,très longue,5,5,rouge,false,49200,2
Nissan,Primera 1.6,8779 EH 67,109,longue,5,5,noir,false,18650,0
Renault,Vel Satis 3.5 V6,9892 IX 28,245,très longue,5,5,bleu,false,49200,2
Fiat,Croma 2.2,4581 IQ 64,147,longue,5,5,blanc,false,24780,0
Lancia,Ypsilon 1.4 16V,7129 DM 10,90,courte,5,3,gris,false,13500,1
Mercedes,A200,8841 SM 78,136,moyenne,5,5,blanc,false,25900,0
BMW,M5,7652 ZJ 87,507,très longue,5,5,rouge,false,94800,2
Ford,Mondeo 1.8,8705 JX 55,125,longue,5,5,blanc,false,23900,0
Audi,A2 1.4,4344 YY 26,75,courte,5,5,gris,false,18310,3
Mini,Copper 1.6 16V,5883 EY 96,115,courte,5,5,noir,false,18200,3
Saab,9.3 1.8T,704 OU 91,150,longue,5,5,noir,false,38600,0
Jaguar,X-Type 2.5 V6,6127 XP 27,197,longue,5,5,bleu,false,37100,0
BMW,M5,4512 LR 74,507,très longue,5,5,rouge,false,94800,2
Jaguar,X-Type 2.5 V6,8870 DJ 80,197,longue,5,5,blanc,false,37100,0
Jaguar,X-Type 2.5 V6,5924 BX 42,197,longue,5,5,gris,false,37100,0
Nissan,Maxima 3.0 V6,493 KO 66,200,très longue,5,5,rouge,false,30000,2
Saab,9.3 1.8T,7487 FD 91,150,longue,5,5,rouge,false,38600,0
Audi,A2 1.4,913 SK 83,75,courte,5,5,gris,false,18310,3
Volkswagen,Polo 1.2 6V,3846 GN 48,55,courte,5,3,noir,false,12200,1
Fiat,Croma 2.2,4195 XB 84,147,longue,5,5,gris,false,24780,0
Renault,Laguna 2.0T,2566 OE 62,170,longue,5,5,noir,false,27300,0
Volkswagen,Polo 1.2 6V,2341 TC 19,55,courte,5,3,noir,false,12200,1
BMW,M5,9719 CN 65,507,très longue,5,5,rouge,false,94800,2
Mercedes,S500,7822 YY 31,306,très longue,5,5,noir,false,101300,2
Ford,Mondeo 1.8,4603 OF 74,125,longue,5,5,rouge,false,23900,0
Audi,A2 1.4,7873 JZ 79,75,courte,5,5,rouge,false,18310,3
Fiat,Croma 2.2,9828 QA 97,147,longue,5,5,blanc,false,24780,0
Renault,Laguna 2.0T,38 FX 32,170,longue,5,5,noir,false,27300,0
Skoda,Superb 2.8 V6,3517 JB 66,193,très longue,5,5,gris,false,31790,2
Fiat,Croma 2.2,2882 KV 91,147,longue,5,5,blanc,false,24780,0
Jaguar,X-Type 2.5 V6,747 ZQ 76,197,longue,5,5,blanc,false,37100,0
Volkswagen,Golf 2.0 FSI,8474 MT 16,150,moyenne,5,5,bleu,false,22900,0
Fiat,Croma 2.2,1417 AN 69,147,longue,5,5,blanc,false,24780,0
Volkswagen,Polo 1.2 6V,544 KI 33,55,courte,5,3,bleu,false,12200,1
Nissan,Almera 1.8,9593 LY 13,115,moyenne,5,5,gris,false,16450,0
Fiat,Croma 2.2,4342 FX 17,147,longue,5,5,rouge,false,24780,0
Saab,9.3 1.8T,4976 YB 60,150,longue,5,5,gris,false,38600,0
BMW,M5,6208 TT 24,507,très longue,5,5,bleu,false,94800,2
BMW,M5,3833 EG 32,507,très longue,5,5,noir,false,94800,2
Volkswagen,Golf 2.0 FSI,5032 RL 34,150,moyenne,5,5,gris,false,22900,0
Mercedes,S500,8812 CB 78,306,très longue,5,5,blanc,false,101300,2
Saab,9.3 1.8T,4436 JP 71,150,longue,5,5,bleu,false,38600,0
Audi,A2 1.4,7029 KU 52,75,courte,5,5,gris,false,18310,3
Dacia,Logan 1.6 MPI,955 GJ 59,90,moyenne,5,5,noir,false,7500,0
Audi,A2 1.4,4069 QA 18,75,courte,5,5,noir,false,18310,3
Ford,Mondeo 1.8,3172 ZU 58,125,longue,5,5,blanc,false,23900,0
BMW,M5,6335 VV 93,507,très longue,5,5,rouge,false,94800,2
Peugeot,1007 1.4,1643 QW 51,75,courte,5,5,bleu,false,13750,3
BMW,M5,5586 TG 71,507,très longue,5,5,bleu,false,94800,2
Volkswagen,Polo 1.2 6V,715 FR 30,55,courte,5,3,bleu,false,12200,1
