marque,nom,immatriculation,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,prediction
Nissan,Maxima 3.0 V6,8955 RA 70,200,très longue,5,5,rouge,false,30000,2
Dacia,Logan 1.6 MPI,2095 ZI 23,90,moyenne,5,5,gris,false,7500,0
Renault,Megane 2.0 16V,3916 OI 98,135,moyenne,5,5,noir,false,22350,0
Mercedes,S500,3454 UH 18,306,très longue,5,5,bleu,false,101300,2
Jaguar,X-Type 2.5 V6,504 CE 26,197,longue,5,5,bleu,false,37100,0
Volkswagen,Polo 1.2 6V,3058 PM 78,55,courte,5,3,blanc,false,12200,1
Ford,Mondeo 1.8,402 PA 28,125,longue,5,5,noir,false,23900,0
Jaguar,X-Type 2.5 V6,8508 AA 37,197,longue,5,5,gris,false,37100,0
BMW,M5,5962 TJ 78,507,très longue,5,5,blanc,false,94800,2
Skoda,Superb 2.8 V6,3885 EP 58,193,très longue,5,5,noir,false,31790,2
BMW,M5,5645 GX 72,507,très longue,5,5,bleu,false,94800,2
BMW,M5,3836 OJ 29,507,très longue,5,5,noir,false,94800,2
Renault,Vel Satis 3.5 V6,2789 ST 24,245,très longue,5,5,blanc,false,49200,2
Ford,Mondeo 1.8,7863 TV 16,125,longue,5,5,noir,false,23900,0
Mercedes,S500,9945 HV 43,306,très longue,5,5,blanc,false,101300,2
Mini,Copper 1.6 16V,3170 GJ 80,115,courte,5,5,rouge,false,18200,3
BMW,M5,4945 GJ 50,507,très longue,5,5,bleu,false,94800,2
Audi,A2 1.4,1301 WD 66,75,courte,5,5,gris,false,18310,3
Nissan,Maxima 3.0 V6,5891 JT 65,200,très longue,5,5,bleu,false,30000,2
Audi,A2 1.4,846 AJ 50,75,courte,5,5,noir,false,18310,3
Jaguar,X-Type 2.5 V6,1505 VX 66,197,longue,5,5,bleu,false,37100,0
Ford,Mondeo 1.8,6545 LL 81,125,longue,5,5,gris,false,23900,0
Audi,A2 1.4,9500 GZ 16,75,courte,5,5,bleu,false,18310,3
Jaguar,X-Type 2.5 V6,3039 ZJ 19,197,longue,5,5,noir,false,37100,0
Jaguar,X-Type 2.5 V6,9582 VY 87,197,longue,5,5,blanc,false,37100,0
Audi,A2 1.4,8239 BU 95,75,courte,5,5,rouge,false,18310,3
BMW,M5,8893 AL 54,507,très longue,5,5,noir,false,94800,2
Volkswagen,Polo 1.2 6V,5390 WK 27,55,courte,5,3,noir,false,12200,1
Volvo,S80 T6,8390 XU 28,272,très longue,5,5,rouge,false,50500,2
Ford,Mondeo 1.8,300 DB 36,125,longue,5,5,rouge,false,23900,0
Volvo,S80 T6,6017 XG 32,272,très longue,5,5,gris,false,50500,2
Renault,Laguna 2.0T,2508 FR 96,170,longue,5,5,blanc,false,27300,0
Renault,Megane 2.0 16V,2432 YN 65,135,moyenne,5,5,noir,false,22350,0
Peugeot,1007 1.4,3746 OG 25,75,courte,5,5,noir,false,13750,3
Ford,Mondeo 1.8,2657 CE 76,125,longue,5,5,rouge,false,23900,0
Audi,A2 1.4,5447 MV 89,75,courte,5,5,gris,false,18310,3
Ford,Mondeo 1.8,5730 JF 22,125,longue,5,5,noir,false,23900,0
Renault,Vel Satis 3.5 V6,5145 VU 51,245,très longue,5,5,rouge,false,49200,2
Dacia,Logan 1.6 MPI,9577 WK 45,90,moyenne,5,5,noir,false,7500,0
Audi,A2 1.4,379 WX 98,75,courte,5,5,noir,false,18310,3
Ford,Mondeo 1.8,3323 YR 20,125,longue,5,5,bleu,false,23900,0
Peugeot,1007 1.4,5487 MG 73,75,courte,5,5,rouge,false,13750,3
Nissan,Almera 1.8,7101 WY 64,115,moyenne,5,5,rouge,false,16450,0
Jaguar,X-Type 2.5 V6,8293 BZ 57,197,longue,5,5,noir,false,37100,0
Daihatsu,Cuore 1.0,7560 TN 35,58,courte,5,3,blanc,false,8850,1
BMW,M5,4634 GD 18,507,très longue,5,5,bleu,false,94800,2
Skoda,Superb 2.8 V6,9308 UM 45,193,très longue,5,5,gris,false,31790,2
Audi,A2 1.4,4564 LP 89,75,courte,5,5,noir,false,18310,3
Renault,Vel Satis 3.5 V6,8269 TB 71,245,très longue,5,5,gris,false,49200,2
Nissan,Maxima 3.0 V6,6045 XY 86,200,très longue,5,5,rouge,false,30000,2
Nissan,Almera 1.8,6684 II 18,115,moyenne,5,5,gris,false,16450,0
Volkswagen,Polo 1.2 6V,419 WL 84,55,courte,5,3,gris,false,12200,1
Ford,Mondeo 1.8,4399 MA 67,125,longue,5,5,gris,false,23900,0
Renault,Vel Satis 3.5 V6,3601 WM 90,245,très longue,5,5,bleu,false,49200,2
BMW,M5,2533 QK 98,507,très longue,5,5,bleu,false,94800,2
Jaguar,X-Type 2.5 V6,8887 UF 17,197,longue,5,5,blanc,false,37100,0
Mercedes,S500,8305 IQ 44,306,très longue,5,5,noir,false,101300,2
Skoda,Superb 2.8 V6,4404 EW 65,193,très longue,5,5,gris,false,31790,2
