marque,nom,immatriculation,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,prediction
Jaguar,X-Type 2.5 V6,3472 DG 64,197,longue,5,5,rouge,false,37100,0
Volkswagen,Polo 1.2 6V,3465 TD 57,55,courte,5,3,blanc,false,12200,1
Jaguar,X-Type 2.5 V6,7927 OY 54,197,longue,5,5,blanc,false,37100,0
Renault,Vel Satis 3.5 V6,2674 BL 93,245,très longue,5,5,blanc,false,49200,2
Jaguar,X-Type 2.5 V6,9457 GW 26,197,longue,5,5,blanc,false,37100,0
BMW,M5,6741 UY 21,507,très longue,5,5,bleu,false,94800,2
Audi,A2 1.4,703 UL 81,75,courte,5,5,gris,false,18310,3
Volkswagen,Golf 2.0 FSI,541 XD 51,150,moyenne,5,5,rouge,false,22900,0
Audi,A2 1.4,3586 GZ 53,75,courte,5,5,rouge,false,18310,3
Volvo,S80 T6,1831 WO 32,272,très longue,5,5,bleu,false,50500,2
Renault,Vel Satis 3.5 V6,18 HS 47,245,très longue,5,5,rouge,false,49200,2
Volkswagen,Golf 2.0 FSI,8764 QH 67,150,moyenne,5,5,gris,false,22900,0
BMW,M5,2192 XA 28,507,très longue,5,5,gris,false,94800,2
Jaguar,X-Type 2.5 V6,4954 LD 81,197,longue,5,5,noir,false,37100,0
Renault,Vel Satis 3.5 V6,6000 RL 30,245,très longue,5,5,bleu,false,49200,2
Volkswagen,Polo 1.2 6V,9272 ND 69,55,courte,5,3,gris,false,12200,1
BMW,M5,2709 HF 14,507,très longue,5,5,rouge,false,94800,2
Volvo,S80 T6,8432 BQ 65,272,très longue,5,5,blanc,false,50500,2
Renault,Laguna 2.0T,2520 NW 97,170,longue,5,5,gris,false,27300,0
BMW,M5,2973 NL 63,507,très longue,5,5,bleu,false,94800,2
Jaguar,X-Type 2.5 V6,4772 OW 20,197,longue,5,5,blanc,false,37100,0
Mercedes,S500,6847 MQ 81,306,très longue,5,5,noir,false,101300,2
Volvo,S80 T6,8954 FU 52,272,très longue,5,5,noir,false,50500,2
Nissan,Primera 1.6,8390 OM 82,109,longue,5,5,bleu,false,18650,0
Volkswagen,Golf 2.0 FSI,2901 LR 34,150,moyenne,5,5,bleu,false,22900,0
Audi,A2 1.4,914 WL 68,75,courte,5,5,rouge,false,18310,3
Renault,Laguna 2.0T,6974 ON 87,170,longue,5,5,gris,false,27300,0
Peugeot,1007 1.4,7713 JW 58,75,courte,5,5,noir,false,13750,3
Seat,Toledo 1.6,3319 HF 51,102,longue,5,5,gris,false,18880,0
Ford,Mondeo 1.8,9563 EJ 63,125,longue,5,5,blanc,false,23900,0
Volkswagen,Golf 2.0 FSI,8027 YM 92,150,moyenne,5,5,blanc,false,22900,0
Nissan,Primera 1.6,3428 XQ 13,109,longue,5,5,blanc,false,18650,0
Mini,Copper 1.6 16V,4662 SP 91,115,courte,5,5,gris,false,18200,3
Audi,A2 1.4,5776 DZ 48,75,courte,5,5,rouge,false,18310,3
Audi,A2 1.4,6607 HW 67,75,courte,5,5,gris,false,18310,3
Mercedes,S500,6569 RM 60,306,très longue,5,5,gris,false,101300,2
