immatriculation,marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
5134 VU 49,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
6867 MM 98,BMW,120i,150,moyenne,5,5,bleu,true,25060
9367 ER 32,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
7788 PX 93,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,false,22350
8830 NK 36,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
1661 LS 74,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350
8031 RI 88,BMW,M5,507,très longue,5,5,bleu,true,66360
5888 JA 93,Volvo,S80 T6,272,très longue,5,5,rouge,true,35350
2788 OF 48,Kia,Picanto 1.1,65,courte,5,5,blanc,false,8990
5319 BS 12,Peugeot,1007 1.4,75,courte,5,5,gris,true,9625
8296 KW 25,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
7709 IN 19,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,true,8540
8490 KB 43,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
2469 ZY 80,Volvo,S80 T6,272,très longue,5,5,blanc,false,50500
3329 KB 48,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
6438 VK 33,Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,false,49200
90 JO 84,BMW,M5,507,très longue,5,5,bleu,true,66360
6524 IO 56,Nissan,Primera 1.6,109,longue,5,5,rouge,false,18650
3142 RV 53,Volvo,S80 T6,272,très longue,5,5,blanc,false,50500
7543 GY 41,BMW,M5,507,très longue,5,5,rouge,true,66360
1135 UT 37,Audi,A2 1.4,75,courte,5,5,gris,false,18310
4532 KN 30,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
8498 BK 59,Renault,Laguna 2.0T,170,longue,5,5,bleu,true,19110
4447 DC 50,Audi,A2 1.4,75,courte,5,5,gris,true,12817
6993 RU 90,BMW,M5,507,très longue,5,5,rouge,false,94800
8202 UQ 80,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
7875 FY 19,Mercedes,A200,136,moyenne,5,5,blanc,true,18130
6347 HO 47,BMW,M5,507,très longue,5,5,bleu,false,94800
5144 JA 34,Saab,9.3 1.8T,150,longue,5,5,noir,false,38600
8761 LG 94,Audi,A2 1.4,75,courte,5,5,gris,true,12817
2684 AK 30,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
3803 IZ 15,BMW,M5,507,très longue,5,5,gris,false,94800
3758 MJ 26,BMW,M5,507,très longue,5,5,blanc,true,66360
8602 IF 65,Volvo,S80 T6,272,très longue,5,5,gris,false,50500
736 AE 62,BMW,M5,507,très longue,5,5,blanc,true,66360
1171 XN 33,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
8499 CQ 95,Audi,A2 1.4,75,courte,5,5,gris,true,12817
6279 NO 15,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
6002 JG 32,Saab,9.3 1.8T,150,longue,5,5,bleu,false,38600
8852 ZP 25,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
4980 VF 29,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
8888 NR 82,Audi,A3 2.0 FSI,150,moyenne,5,5,bleu,true,19950
9274 PI 23,Volvo,S80 T6,272,très longue,5,5,gris,true,35350
6572 PO 63,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
8781 WQ 86,BMW,M5,507,très longue,5,5,bleu,false,94800
2889 JP 66,Volvo,S80 T6,272,très longue,5,5,blanc,true,35350
5726 EQ 31,Kia,Picanto 1.1,65,courte,5,5,noir,false,8990
8208 UM 60,Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,false,49200
2752 TN 74,Audi,A2 1.4,75,courte,5,5,gris,true,12817
9410 GQ 79,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
8289 GN 63,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,true,8540
886 MC 43,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
9820 YZ 15,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
2350 DL 24,Volvo,S80 T6,272,très longue,5,5,gris,false,50500
7132 WI 89,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
4275 ZJ 60,Volvo,S80 T6,272,très longue,5,5,blanc,false,50500
9034 QJ 19,Audi,A3 2.0 FSI,150,moyenne,5,5,noir,false,28500
3824 AF 56,Mercedes,S500,306,très longue,5,5,noir,false,101300
869 BY 21,Audi,A2 1.4,75,courte,5,5,noir,false,18310
9490 MG 22,Fiat,Croma 2.2,147,longue,5,5,noir,true,17346
5822 SK 16,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
1926 QN 98,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
4218 TL 67,BMW,M5,507,très longue,5,5,gris,false,94800
9395 VY 63,Audi,A2 1.4,75,courte,5,5,blanc,true,12817
2594 JX 59,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
6515 BS 13,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200
8318 PS 14,Audi,A2 1.4,75,courte,5,5,blanc,true,12817
2725 BN 24,Volvo,S80 T6,272,très longue,5,5,bleu,false,50500
9884 XU 38,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
4718 LK 11,Nissan,Primera 1.6,109,longue,5,5,bleu,false,18650
7304 XF 18,Volvo,S80 T6,272,très longue,5,5,gris,false,50500
4202 XR 63,Mini,Copper 1.6 16V,115,courte,5,5,rouge,true,12740
8958 LS 34,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,true,8540
